CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW
0,0,0,0,0,94579
0,0,0,0,0,94581
0,0,0,0,0,94588
0,0,0,0,0,94595
0,0,0,0,0,94595
0,0,0,0,0,94600
0,0,0,0,0,94600
0,0,0,0,0,94608
0,0,0,0,0,94609
0,0,0,0,0,94614
0,0,0,0,0,94618
0,0,0,0,0,96163
0,0,0,0,0,96169
0,0,0,0,0,96169
0,0,0,0,0,101100
0,0,0,0,0,101107
0,0,0,0,0,101113
0,0,0,0,0,101116
0,0,0,0,0,101117
0,0,0,0,0,101118
0,0,0,0,0,102332
0,0,0,0,0,102336
0,0,0,0,0,107234
0,0,0,0,0,107235
0,0,0,0,0,107242
0,0,0,0,0,107247
0,0,0,0,0,107252
0,0,0,0,0,107257
0,0,0,0,0,107257
0,0,0,0,0,107261
0,0,0,0,0,107266
0,0,0,0,0,111360
0,0,0,0,0,111367
0,0,0,0,0,111373
0,0,0,0,0,111374
0,0,0,0,0,113496
0,0,0,0,0,113501
0,0,0,0,0,113508
0,0,0,0,0,113509
0,0,0,0,0,113514
0,0,0,0,0,113521
0,0,0,0,0,113528
0,0,0,0,0,113535
0,0,0,0,0,118461
0,0,0,0,0,118468
0,0,0,0,0,118475
0,0,0,0,0,123398
0,0,0,0,0,123405
0,0,0,0,0,123412
0,0,0,0,0,123419
0,0,0,0,0,123426
0,0,0,0,0,123433
0,0,0,0,0,123440
0,0,0,0,0,123441
0,0,0,0,0,125757
0,0,1,0,0,125764
0,0,1,0,0,125771
0,0,1,0,0,125778
0,0,1,0,0,125783
0,0,1,0,0,130708
0,0,1,0,0,130715
0,0,1,0,0,130722
0,0,1,0,0,130729
0,0,1,0,0,135624
