socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile
440,0,265,247249,264,383,0,0,2504,966,0,407,0
441,0,265,249639,264,383,0,0,2504,966,0,409,0
449,0,270,251815,270,392,0,0,2564,990,0,417,0
449,0,270,251815,270,392,0,0,2564,990,0,417,0
474,0,270,251815,293,394,2,7,5833,1622,0,417,0
476,0,272,284583,293,394,2,7,5833,1622,0,417,0
484,0,277,286759,299,403,2,7,5895,1647,0,425,0
492,0,282,287911,305,412,2,7,5957,1672,0,433,0
500,0,287,289063,311,421,2,7,6019,1697,0,441,0
500,0,287,289063,311,421,2,7,6019,1697,0,441,0
500,0,287,289063,311,421,2,7,6019,1697,0,443,0
500,0,287,289063,311,421,2,7,6019,1697,0,443,0
508,0,292,290215,317,430,2,7,6081,1722,0,451,0
510,0,294,294311,317,430,2,7,6081,1722,0,453,0
512,0,296,298407,317,430,2,7,6081,1722,0,455,0
520,0,301,300583,323,439,2,7,6145,1747,0,463,0
521,0,301,303645,323,439,2,7,6145,1747,0,465,0
529,0,306,305821,329,448,2,7,6207,1772,0,473,0
529,0,306,305821,329,448,2,7,6207,1772,0,473,0
530,0,307,306333,329,448,2,7,6207,1772,0,473,0
530,0,307,306333,329,448,2,7,6207,1772,0,473,0
538,0,312,308509,335,457,2,7,6270,1797,0,481,0
540,0,313,331018,335,457,2,7,6270,1797,0,483,0
540,0,313,331018,335,457,2,7,6270,1797,0,483,0
540,0,313,331018,335,457,2,7,6270,1797,0,483,0
548,0,316,332170,341,466,2,7,6331,1823,0,491,0
553,0,318,334346,344,469,2,7,6348,1831,0,504,0
555,0,320,335370,344,469,2,7,6348,1831,0,509,0
555,0,320,335370,344,469,2,7,6348,1831,0,509,0
563,0,325,336522,350,478,2,7,6422,1856,0,517,0
563,0,325,336522,350,478,2,7,6422,1856,0,517,0
571,0,330,338698,356,487,2,7,6484,1881,0,525,0
571,0,330,338698,356,487,2,7,6484,1881,0,525,0
572,0,331,340746,356,487,2,7,6484,1881,0,527,0
575,0,331,340746,359,493,2,7,6504,1891,0,529,0
575,0,331,340746,359,493,2,7,6504,1891,0,529,0
583,0,336,341898,365,502,2,7,6566,1916,0,537,0
591,0,341,344074,371,511,2,7,6641,1941,0,545,0
599,0,346,345226,377,520,2,7,6703,1966,0,553,0
605,0,348,346378,381,527,2,7,6747,1981,0,584,0
613,0,353,347530,387,536,2,7,6822,2006,0,592,0
613,0,353,347530,387,536,2,7,6822,2006,0,592,0
613,0,353,347530,387,536,2,7,6822,2006,0,592,0
618,0,356,349066,389,538,2,7,6826,2006,0,594,0
621,0,359,350602,389,538,2,7,6826,2006,0,598,0
623,0,361,351626,389,538,2,7,6826,2006,0,600,0
626,0,361,351626,392,544,2,7,6843,2014,0,601,0
626,0,361,351626,392,544,2,7,6843,2014,0,601,0
634,0,366,353802,398,553,2,7,6917,2039,0,609,0
642,0,371,355978,404,562,2,7,6991,2064,0,617,0
646,0,371,355978,408,569,2,7,7044,2079,0,648,0
646,0,371,355978,408,569,2,7,7044,2079,0,648,0
646,0,371,355978,408,569,2,7,7044,2079,0,648,0
