RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
254796,131079,35,320030,2069,9725,273780,125629,23389
256552,131156,35,323382,2092,9790,276032,125854,23586
257717,131196,35,328877,2108,9796,277516,125920,23701
259781,131236,35,335285,2124,9802,279965,126504,23816
262135,131265,35,336690,2134,10199,289074,126775,24237
263606,131338,36,338631,2159,10205,290678,130972,24414
264997,131414,36,341606,2181,10264,292441,131552,24622
265539,131427,36,342676,2188,10270,293069,131592,24658
265936,131427,36,344952,2188,10276,293604,131628,24706
265936,131427,36,344952,2188,10276,293604,131628,24706
267470,131473,36,348242,2201,10338,295577,131759,24902
269417,131558,37,350926,2230,10344,297849,146441,25572
270554,131571,37,352596,2237,10350,299114,147061,25630
271165,131589,37,353781,2248,10356,299933,147113,25678
272846,131635,37,357128,2261,10418,302064,147244,25874
275207,131654,37,358432,2268,10768,312522,147522,26269
277321,131718,37,364829,2293,10774,315000,148325,26386
277664,131718,37,367073,2293,10774,315483,148334,26415
279418,131793,37,370425,2314,10835,317735,148559,26612
281090,131855,37,372545,2335,10841,319649,156787,26917
283586,131884,37,373997,2345,11238,325738,157081,27330
284953,131906,38,375946,2356,11244,327349,158217,27409
286123,131943,38,381434,2371,11250,328854,158284,27524
286292,131951,38,381482,2378,11250,329028,158866,27631
286635,131951,38,383726,2378,11250,329511,158875,27660
296264,131997,38,384849,2391,11315,339588,159000,27835
298737,132054,38,386011,2408,11706,349237,159796,28263
300412,132100,38,389356,2421,11767,351312,159960,28462
302072,132138,38,392642,2431,11829,353361,160117,28641
303753,132184,38,395989,2444,11891,355492,160247,28837
304123,132184,38,398234,2444,11891,355977,160262,28873
304466,132184,38,400478,2444,11891,356460,160271,28902
311342,132539,39,412882,2604,11955,364623,161806,29713
313696,132591,39,419858,2626,11961,367489,162508,30002
315821,132662,39,426264,2651,11967,369971,163933,30119
315979,132666,39,426298,2657,11967,370139,164566,30226
315981,132666,39,426298,2657,11967,370139,164569,30229
318904,132749,39,430296,2680,12368,373377,164932,30699
321436,132829,39,432018,2700,12766,375995,165281,31130
321756,132837,39,432179,2703,12769,383776,165923,31204
323197,132858,40,434175,2716,12775,385459,169491,31334
324647,132905,41,436141,2735,12781,387153,170259,31400
324990,132905,41,438385,2735,12781,387636,170268,31429
326667,132951,41,441731,2748,12842,389765,170399,31625
326836,132959,41,441779,2755,12842,389937,170981,31732
327079,132970,41,442545,2762,12848,390253,171016,31765
328869,133009,43,445164,2782,12854,392429,174960,32134
331180,133061,43,446853,2795,13252,394841,175226,32573
332950,133125,44,449392,2816,13258,396932,183547,33005
334715,133138,44,454823,2823,13264,399044,184119,33086
335191,133152,44,455871,2834,13270,399718,184155,33132
336565,133198,44,457037,2847,13331,401424,184293,33309
338597,133280,44,458292,2869,13726,403317,185109,33751
339069,133298,44,459338,2880,13732,403981,185173,33827
339541,133303,44,461695,2882,13738,404610,185208,33869
340013,133308,44,464052,2884,13744,405239,185243,33911
341518,133355,44,467284,2897,13805,407081,186022,34107
343928,133444,44,473864,2931,13814,410157,186109,34267
374018,133444,44,476108,2931,13814,410640,186118,34296
382283,133768,44,488287,3062,13868,419872,188930,34797
382309,133775,44,488542,3062,13868,419902,188931,34799
384866,133794,44,489929,3069,14218,432978,189194,35202
387964,133854,44,491568,3089,14615,445105,189616,35641
388307,133854,44,493812,3089,14615,445588,189625,35670
390037,133910,44,497163,3106,14680,447877,189813,35866
390037,133910,44,497163,3106,14680,447877,189816,35869
392207,133990,44,498781,3126,15078,450004,190175,36293
392806,134004,44,499909,3133,15084,450689,190240,36348
394132,134049,44,502898,3145,15140,452359,190761,36565
395650,134095,44,506174,3158,15202,454266,190891,36760
396051,134095,44,508468,3158,15208,454806,190927,36806
397620,134171,44,511514,3180,15264,456894,191532,37018
397621,134171,44,511515,3180,15264,456895,191533,37019
400136,134318,44,513994,3257,15297,459969,192488,37238
402928,134375,44,515519,3274,15694,471326,192938,37671
404609,134421,44,518867,3287,15756,473509,193070,37867
406745,134461,44,525348,3303,15762,476094,193659,37989
409102,134498,44,532333,3322,15768,479024,194349,38278
410626,134509,44,536279,3329,15774,480795,194934,38350
412985,134561,44,543261,3351,15780,483669,195633,38643
415379,134596,44,549296,3361,15841,486341,195771,38804
417799,134635,44,555311,3372,15902,489019,195907,38969
419160,134649,45,557256,3383,15908,490632,196513,39028
421541,134729,45,558926,3403,16309,493038,196897,39463
423249,134775,45,562290,3416,16371,495204,197030,39664
424564,134821,45,565209,3428,16426,496801,198168,39880
426075,134868,45,568441,3441,16491,498695,198899,40076
