CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
602,0,253,15,12,94,26585,64079,1965,228
605,0,256,15,12,105,26585,64079,1965,261
605,0,256,15,12,106,26585,64079,1965,267
605,0,256,16,13,107,26585,64079,1965,268
607,0,257,16,13,107,26585,64079,1965,268
619,0,262,16,13,111,26613,64079,1965,271
620,0,263,16,13,111,26613,64079,1965,271
621,0,264,16,13,111,26613,64079,1965,271
622,0,265,16,13,111,26613,64079,1965,271
623,0,266,16,13,111,26613,64079,1965,271
624,0,267,16,13,111,26613,64079,1965,271
625,0,268,16,13,111,26613,64079,1965,271
626,0,269,16,13,111,26613,64079,1965,271
644,0,277,16,13,115,26770,64079,1965,280
647,0,279,17,14,116,26770,64079,1965,283
663,0,287,17,14,120,26927,64079,1965,292
664,0,288,17,14,120,26927,64079,1965,292
665,0,289,17,14,120,26927,64079,1965,292
666,0,290,17,14,120,26927,64079,1965,292
667,0,291,17,14,120,26927,64079,1965,292
668,0,292,17,14,120,26927,64079,1965,292
669,0,293,19,15,121,26927,64079,1965,295
842,0,301,19,15,125,43839,64079,1965,304
843,0,302,19,15,125,43839,64079,1965,304
844,0,303,19,15,125,43839,64079,1965,304
863,0,311,20,15,133,44070,64079,1965,328
864,0,312,20,15,133,44070,64079,1965,328
865,0,313,20,15,133,44070,64079,1965,328
866,0,314,20,15,133,44070,64079,1965,328
867,0,315,20,15,133,44070,64079,1965,328
870,0,317,21,16,134,44070,64079,1965,331
871,0,318,21,16,134,44070,64079,1965,331
1028,0,326,21,16,138,59925,64079,1965,340
1029,0,327,21,16,138,59925,64079,1965,340
1030,0,328,21,16,138,59925,64079,1965,340
1033,0,328,21,16,139,59925,64079,1965,341
1034,0,329,21,16,139,59925,64079,1965,341
1035,0,330,21,16,139,59925,64079,1965,341
1037,0,331,21,16,139,59925,64079,1965,341
1038,0,332,21,16,139,59925,64079,1965,341
1039,0,333,21,16,139,59925,64079,1965,341
1040,0,334,21,16,139,59925,64079,1965,341
1056,0,342,21,16,143,60070,64079,1965,350
1057,0,343,21,16,143,60070,64079,1965,350
1077,0,352,22,17,148,60227,64079,1965,362
1078,0,353,23,18,149,60227,64079,1965,365
1079,0,354,23,18,149,60227,64079,1965,365
1079,0,354,23,18,150,60227,64079,1965,371
1080,0,355,23,18,150,60227,64079,1965,371
1081,0,356,23,18,150,60227,64079,1965,371
1082,0,357,23,18,150,60227,64079,1965,371
1082,0,357,23,18,151,60227,64079,1965,377
1083,0,358,23,18,151,60227,64079,1965,377
1084,0,359,23,18,151,60227,64079,1965,377
1101,0,367,23,18,155,60384,64079,1965,386
1102,0,368,23,18,155,60384,64079,1965,386
1103,0,369,23,18,155,60384,64079,1965,386
1104,0,370,23,18,155,60384,64079,1965,386
1105,0,371,23,18,155,60384,64079,1965,386
1106,0,372,23,18,155,60384,64079,1965,386
1107,0,373,23,18,155,60384,64079,1965,386
1107,0,377,23,18,155,60384,64079,1965,386
1125,0,384,23,18,159,60537,64079,1965,395
1142,0,392,23,18,163,60684,64079,1965,404
1161,0,401,24,19,168,60841,64079,1965,416
1162,0,402,24,19,168,60841,64079,1965,416
1163,0,403,24,19,168,60841,64079,1965,416
1164,0,404,24,19,168,60841,64079,1965,416
1165,0,405,24,19,168,60841,64079,1965,416
1169,0,408,26,21,170,60841,94002,2859,425
1172,0,408,26,21,172,60869,94002,2859,431
1173,0,409,26,21,172,60869,94002,2859,431
1174,0,410,26,21,172,60869,94002,2859,431
1175,0,411,26,21,172,60869,94002,2859,431
1176,0,412,26,21,172,60869,94002,2859,431
1287,0,413,26,21,172,72833,94002,2859,431
1288,0,414,26,21,172,72833,94002,2859,431
1292,0,415,26,21,173,72849,94002,2859,434
1293,0,416,26,21,173,72849,94002,2859,434
1294,0,417,26,21,173,72849,94002,2859,434
1307,0,422,26,21,177,72877,94002,2859,437
1308,0,423,26,21,177,72877,94002,2859,437
1309,0,424,26,21,177,72877,94002,2859,437
1310,0,425,26,21,179,72877,94002,2859,443
1311,0,426,26,21,179,72877,94002,2859,443
1311,0,426,26,21,180,72877,94002,2859,449
1312,0,427,26,21,180,72877,94002,2859,449
1313,0,428,26,21,180,72877,94002,2859,449
1314,0,429,28,22,181,72877,94002,2859,452
1315,0,430,28,22,181,72877,94002,2859,452
1316,0,431,28,22,181,72877,94002,2859,452
1317,0,432,28,22,181,72877,94002,2859,452
1318,0,433,28,22,181,72877,94002,2859,452
1321,0,434,28,22,182,72877,94002,2859,452
1333,0,439,28,22,186,72905,94002,2859,455
1349,0,447,28,22,190,73064,94002,2859,464
1351,0,449,29,23,191,73064,94002,2859,467
1351,0,449,29,23,192,73064,94002,2859,473
1352,0,450,29,23,192,73064,94002,2859,473
1353,0,451,29,23,192,73064,94002,2859,473
1354,0,452,29,23,192,73064,94002,2859,473
1355,0,453,29,23,192,73064,94002,2859,473
1525,0,461,29,23,196,89871,94002,2859,482
1526,0,462,29,23,196,89871,94002,2859,482
1528,0,464,30,24,197,89871,94002,2859,485
1529,0,465,30,24,197,89871,94002,2859,485
1530,0,466,30,24,197,89871,94002,2859,485
1531,0,467,30,24,197,89871,94002,2859,485
1713,0,475,30,24,201,107479,94002,2859,494
1725,0,480,30,24,205,107507,94002,2859,497
1726,0,481,30,24,205,107507,94002,2859,497
1727,0,482,30,24,205,107507,94002,2859,497
1727,0,482,30,24,206,107507,94002,2859,503
1728,0,483,30,24,206,107507,94002,2859,503
1739,0,488,30,24,210,107535,94002,2859,506
1755,0,496,30,24,214,107707,94002,2859,515
1755,0,496,32,24,215,107707,94002,2859,515
1756,0,497,32,24,215,107707,94002,2859,515
1759,0,499,33,25,216,107707,94002,2859,518
1760,0,500,33,25,216,107707,94002,2859,518
1761,0,501,33,25,216,107707,94002,2859,518
1764,0,503,34,26,217,107707,94002,2859,521
1765,0,504,34,26,217,107707,94002,2859,521
1766,0,505,34,26,217,107707,94002,2859,521
1767,0,506,34,26,217,107707,94002,2859,521
1768,0,507,34,26,217,107707,94002,2859,521
1769,0,508,34,26,217,107707,94002,2859,521
1770,0,509,34,26,217,107707,94002,2859,521
1772,0,510,35,27,218,107707,94002,2859,525
1773,0,511,35,27,218,107707,94002,2859,525
1775,0,512,35,27,218,107707,94002,2859,525
1931,0,520,35,27,222,124308,94002,2859,534
1932,0,521,35,27,222,124308,94002,2859,534
1934,0,522,35,27,222,124308,94002,2859,534
1953,0,530,35,27,226,124453,94002,2859,543
1954,0,531,35,27,226,124453,94002,2859,543
1955,0,531,35,27,228,124453,94002,2859,547
1956,0,532,35,27,228,124453,94002,2859,547
1957,0,533,35,27,228,124453,94002,2859,547
1958,0,534,35,27,228,124453,94002,2859,547
1977,0,542,35,27,232,124546,94002,2859,556
1979,0,543,35,27,232,124546,94002,2859,556
1980,0,544,35,27,232,124546,94002,2859,556
1981,0,545,35,27,232,124546,94002,2859,556
