RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
36787,1950,0,38047,1038,874,47642,57239,51918
36794,1950,0,38053,1038,874,47649,57255,51947
36799,1950,0,38054,1038,874,47653,57261,51954
36804,1950,0,38055,1038,874,47657,57267,51961
36804,1950,0,38055,1038,874,47657,57280,51986
37329,1967,0,38277,1041,1042,47916,57437,52240
37329,1967,0,38277,1041,1042,47917,57442,52245
37330,1967,0,38277,1041,1042,47917,57442,52245
37375,1975,0,38314,1043,1042,47960,57444,52253
38083,2023,0,38983,1088,1045,49058,57467,52337
38088,2023,0,38984,1088,1045,49063,57473,52344
38093,2023,0,38985,1088,1045,49067,57479,52351
38098,2023,0,38986,1088,1045,49071,57485,52358
38402,2037,0,39209,1093,1077,49259,57499,52383
38451,2045,0,39247,1095,1077,49306,57505,52396
38456,2045,0,39248,1095,1077,49309,57505,52396
38461,2045,0,39249,1095,1077,49313,57511,52403
40748,2182,0,41302,1176,1103,51926,58399,52591
40751,2182,0,41303,1176,1103,51929,58415,52620
42813,2319,0,43286,1257,1129,54316,59288,52813
42818,2319,0,43287,1257,1129,54320,59294,52820
42823,2319,0,43288,1257,1129,54324,59300,52827
42828,2319,0,43289,1257,1129,54329,59306,52834
42833,2319,0,43290,1257,1129,54333,59312,52841
42838,2319,0,43291,1257,1129,54337,59318,52848
42840,2319,0,43291,1257,1129,54339,59332,52875
45263,2454,0,45670,1335,1151,57153,59410,53065
45268,2454,0,45671,1335,1151,57158,59416,53072
45273,2454,0,45672,1335,1151,57162,59422,53079
45909,2494,1,48208,1339,1151,57998,66292,54114
45914,2494,1,48209,1339,1151,58002,66298,54121
45919,2494,1,48210,1339,1151,58006,66304,54128
45924,2494,1,48211,1339,1151,58010,66310,54135
45929,2494,1,48212,1339,1151,58015,66316,54142
45932,2494,1,48213,1339,1151,58018,66332,54171
45937,2494,1,48214,1339,1151,58022,66338,54178
48080,2631,2,50415,1420,1177,60514,66559,54365
48085,2631,2,50416,1420,1177,60518,66565,54372
48090,2631,2,50417,1420,1177,60522,66571,54379
48092,2631,2,50417,1420,1177,60524,66585,54406
48097,2631,2,50418,1420,1177,60529,66591,54413
48102,2631,2,50419,1420,1177,60533,66597,54420
48147,2639,2,50456,1422,1177,60576,66599,54428
48152,2639,2,50457,1422,1177,60580,66609,54450
48157,2639,2,50458,1422,1177,60584,66615,54457
48162,2639,2,50459,1422,1177,60588,66621,54464
50464,2781,2,52752,1503,1238,63155,67584,54700
50507,2786,2,52784,1505,1238,63194,67590,54713
52638,2923,2,54823,1586,1264,65681,68468,54928
52881,2935,2,54993,1590,1296,65829,68491,54974
52886,2935,2,54994,1590,1296,65833,68497,54981
52887,2935,2,54994,1590,1296,65836,68506,54988
52894,2935,2,54995,1590,1296,65840,68512,54995
52899,2935,2,54996,1590,1296,65844,68518,55002
52904,2935,2,54997,1590,1296,65848,68524,55009
52904,2935,2,54997,1590,1296,65848,68531,55013
53155,2949,2,55176,1595,1325,66002,68545,55038
53160,2949,2,55177,1595,1325,66006,68551,55045
55424,3086,2,57232,1676,1351,68581,69407,55230
55429,3086,2,57233,1676,1351,68586,69413,55237
55434,3086,2,57234,1676,1351,68590,69419,55244
55439,3086,2,57235,1676,1351,68595,69425,55251
55444,3086,2,57236,1676,1351,68600,69431,55258
55449,3086,2,57237,1676,1351,68604,69437,55265
55454,3086,2,57238,1676,1351,68608,69443,55272
55454,3086,2,57238,1676,1351,68608,69443,55272
57580,3222,2,59272,1756,1380,71090,70312,55454
59673,3359,2,61282,1836,1409,73501,71189,55636
61778,3496,2,63286,1917,1434,75945,72046,55845
61783,3496,2,63287,1917,1434,75949,72052,55852
61788,3496,2,63288,1917,1434,75954,72058,55859
61795,3496,2,63289,1917,1434,75958,72064,55866
61800,3496,2,63290,1917,1434,75962,72070,55873
61826,3499,2,63328,1920,1434,75979,72149,55910
62652,3499,2,67742,1920,1434,77164,72184,56091
62657,3499,2,67743,1920,1434,77168,72190,56098
62662,3499,2,67744,1920,1434,77172,72196,56105
62896,3513,2,67934,1925,1448,77323,72210,56130
62901,3513,2,67935,1925,1448,77327,72216,56137
62923,3514,2,67965,1925,1448,77352,72221,56145
62928,3514,2,67966,1925,1448,77356,72227,56152
63107,3521,2,68004,1932,1448,77528,75189,56253
63112,3521,2,68005,1932,1448,77533,75195,56260
63118,3521,2,68010,1932,1448,77539,75209,56287
63825,3569,2,68678,1977,1451,78634,75232,56371
63830,3569,2,68679,1977,1451,78638,75238,56378
63835,3569,2,68680,1977,1451,78643,75244,56385
63837,3569,2,68680,1977,1451,78644,75273,56414
63839,3569,2,68680,1977,1451,78646,75287,56441
63839,3569,2,68680,1977,1451,78646,75294,56445
63846,3569,2,68681,1977,1451,78650,75300,56452
63851,3569,2,68682,1977,1451,78655,75306,56459
63855,3569,2,68682,1977,1451,78657,75321,56487
64003,3574,2,68788,1979,1471,78750,75335,56512
64052,3582,2,68826,1981,1471,78795,75341,56525
64057,3582,2,68827,1981,1471,78799,75347,56532
64062,3582,2,68828,1981,1471,78803,75353,56539
64240,3583,2,69028,1981,1471,79083,75361,56550
64955,3631,2,69708,2026,1474,80189,75384,56634
67072,3771,2,71901,2107,1496,82679,76409,56881
67315,3783,2,72071,2111,1528,82827,76434,56929
67315,3783,2,72071,2111,1528,82827,76436,56931
67320,3783,2,72072,2111,1528,82831,76442,56938
67325,3783,2,72073,2111,1528,82835,76448,56945
67333,3783,2,72077,2111,1528,82843,76462,56972
67338,3783,2,72078,2111,1528,82847,76468,56979
69571,3919,2,74121,2193,1550,85391,76619,57178
69576,3919,2,74122,2193,1550,85396,76625,57185
69579,3919,2,74123,2193,1550,85399,76641,57214
69584,3919,2,74124,2193,1550,85404,76647,57221
69589,3919,2,74125,2193,1550,85408,76653,57228
69594,3919,2,74126,2193,1550,85413,76659,57235
71755,4055,2,76206,2271,1572,87920,76722,57417
72467,4103,2,76877,2316,1575,89020,76745,57501
72472,4103,2,76878,2316,1575,89025,76751,57508
72477,4103,2,76879,2316,1575,89029,76757,57515
72477,4103,2,76879,2316,1575,89029,76764,57519
72482,4103,2,76880,2316,1575,89033,76770,57526
73182,4151,2,77546,2361,1578,90129,76793,57610
75645,4287,2,81643,2442,1604,92989,77689,57822
75645,4287,2,81643,2442,1604,92989,77689,57822
75650,4287,2,81644,2442,1604,92993,77695,57829
75652,4287,2,81644,2442,1604,92995,77710,57857
75657,4287,2,81645,2442,1604,92999,77716,57864
75662,4287,2,81646,2442,1604,93003,77722,57871
75669,4287,2,81652,2442,1604,93010,77738,57900
75674,4287,2,81653,2442,1604,93014,77744,57907
75679,4287,2,81654,2442,1604,93018,77750,57914
75684,4287,2,81655,2442,1604,93022,77756,57921
75689,4287,2,81656,2442,1604,93026,77762,57928
75694,4287,2,81657,2442,1604,93030,77768,57935
75699,4287,2,81658,2442,1604,93035,77774,57942
75699,4287,2,81658,2442,1604,93035,77775,57943
75706,4287,2,81659,2442,1604,93039,77781,57950
