FindNextFile,FindFirstFile,FindFirstFileEx,SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,SetFileAttributes,GetFileType,CopyFileEx,CopyFile,DeleteFile,EncryptFile,NtReadFile,NtWriteFile,GetFileAttributes,GetFileAttributesEx,CryptDeriveKey,CryptDecodeObject,CryptGenKey,CryptImportPublicKeyInfo,CryptAcquireContext,CryptAcquireContextW,RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,InternetOpen,shutdown,sendto,connect,bind,listen,accept,recv,send,InternetOpenUrl,InternetReadFile,InternetWriteFile,CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,test
0,0,0,5422,32583,423,6821,0,349,0,0,0,0,238292,34086,0,0,0,0,0,0,0,18800,25739,730,5,46225,263,1278,41859,16676,3222,110,0,75,24347,52,77,0,0,563,208,0,77,0,245,0,94,10,10,108,997,2337,70,257,Cerber
0,0,0,5836,32686,439,6842,0,370,0,0,0,0,262797,34257,0,0,0,0,0,0,0,18807,27858,782,5,47815,276,1679,44019,16939,3652,118,0,80,26523,58,86,0,0,626,233,0,85,0,263,0,102,10,10,115,1008,2337,70,275,Cerber
0,0,0,5884,32687,440,6854,0,370,0,0,0,0,330931,102249,0,0,0,0,0,0,0,18807,28201,782,5,50059,276,1679,44502,16948,3681,118,0,80,26523,58,86,0,0,626,233,0,85,0,263,0,102,10,10,115,1022,2337,70,275,Cerber
0,0,0,6369,32796,460,6888,0,391,0,0,0,0,355616,102456,0,0,0,0,0,0,0,18812,29793,856,5,53274,296,1738,46497,17527,3890,126,0,85,28699,64,95,0,0,697,257,0,93,0,278,0,109,11,11,120,1047,2369,71,290,Cerber
0,0,0,6371,32856,466,6911,0,399,0,0,0,0,355678,102526,0,0,0,0,0,0,0,18819,32449,875,5,56616,303,2088,56777,17785,4305,132,0,88,30875,68,99,0,0,714,266,0,106,0,292,0,114,11,11,127,1068,2369,71,308,Cerber
0,0,0,6371,32856,466,6931,0,410,0,0,0,0,355700,102531,0,0,0,0,0,0,0,18822,33559,889,6,58310,314,2094,58128,17875,4364,132,0,88,30875,68,99,0,0,714,266,0,106,0,295,0,114,11,11,132,1120,2369,71,320,Cerber
0,0,0,6374,32856,466,6931,0,414,0,0,0,0,355702,102531,0,0,0,0,0,0,0,18822,33559,889,6,58310,314,2094,58128,17876,4365,132,0,88,30875,68,99,0,0,714,266,0,106,0,295,0,114,11,11,132,1120,2369,71,323,Cerber
0,0,0,6374,32856,466,6931,0,417,0,0,0,0,355702,102531,0,0,0,0,0,0,0,18822,33559,889,6,58310,314,2094,58128,17876,4365,132,0,88,30875,68,99,0,0,714,266,0,106,0,295,0,114,11,11,132,2279,2369,71,323,Cerber
0,0,0,6579,33054,481,6969,0,438,0,0,0,0,356032,102781,0,0,0,0,0,0,0,18829,36901,918,6,60067,324,2491,67459,18145,4792,140,0,93,33051,74,108,0,0,774,292,0,114,0,312,0,122,11,11,139,2294,2369,71,341,Cerber
0,0,0,7601,41284,525,8688,0,508,0,0,0,0,384374,111459,0,0,0,0,0,0,0,23763,39923,1153,6,64856,426,2532,70897,18654,5219,144,0,96,34587,75,109,0,0,774,292,0,114,0,339,0,134,12,12,153,2473,2639,79,369,Cerber
