CreateThread,CreateRemoteThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess
150,0,237,0,0,37,56477,38544,1160,246
150,0,237,0,0,37,56477,38544,1160,249
150,0,237,0,0,37,56477,38544,1160,252
150,0,255,0,0,39,56477,38544,1160,252
150,0,255,0,0,40,56477,38544,1160,258
150,0,255,0,0,40,56478,38544,1160,261
150,0,255,0,0,40,56478,38544,1160,264
150,0,273,0,0,42,56478,38544,1160,264
150,0,273,0,0,42,56478,38544,1160,267
150,0,273,0,0,42,56478,38544,1160,270
150,0,291,0,0,44,56478,38544,1160,270
150,0,291,0,0,44,56478,38544,1160,273
150,0,309,0,0,46,56478,38544,1160,273
150,0,309,0,0,46,56478,38544,1160,273
150,0,309,0,0,46,56478,38544,1160,276
154,0,309,0,0,46,56734,38544,1160,276
155,0,309,0,0,46,56735,38544,1160,276
155,0,309,0,0,46,56736,38544,1160,276
155,0,309,0,0,46,56736,38544,1160,279
155,0,309,0,0,46,56736,38544,1160,282
155,0,309,0,0,46,56739,38544,1160,282
155,0,309,0,0,46,56739,38544,1160,285
155,0,328,0,0,48,56739,38544,1160,285
155,0,328,0,0,48,56739,38544,1160,288
155,0,328,0,0,48,56739,38544,1160,291
160,0,328,0,0,48,56739,38544,1160,291
160,0,328,0,0,49,56766,38544,1160,294
160,0,328,0,0,49,56766,38544,1160,297
161,0,328,0,0,49,56766,38544,1160,300
161,0,347,0,0,51,56766,38544,1160,300
162,0,347,0,0,51,56767,38544,1160,300
162,0,347,0,0,51,56767,38544,1160,303
162,0,347,0,0,51,56767,38544,1160,306
162,0,347,0,0,52,56767,38544,1160,309
165,0,349,0,0,52,56925,38544,1160,309
165,0,367,0,0,54,56925,38544,1160,309
165,0,367,0,0,54,56925,38544,1160,309
165,0,367,0,0,54,56925,38544,1160,309
165,0,367,0,0,54,56996,38578,1161,309
165,0,367,0,0,54,56996,38578,1161,312
165,0,367,0,0,55,56996,38578,1161,318
165,0,367,0,0,55,56996,38578,1161,318
166,0,367,0,0,55,57340,38919,1171,318
166,0,367,0,0,55,57340,38919,1171,321
167,0,367,0,0,55,57341,38919,1171,321
