NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,893,,,,
NtWriteFile,1791,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,13,,,,
RegCreateKeyExW,0,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,2,,,,
RegSetValueExW,0,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,12,,,,
NtQueryValueKey,79,,,,
NtOpenKey,73,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
listen,0,,,,
accept,0,,,,
recv,0,,,,
send,0,,,,
InternetOpenUrl,0,,,,
InternetReadFile,0,,,,
InternetWriteFile,0,,,,
CreateThread,90,,,,
CreateRemoteThread,0,,,,
NtResumeThread,4,,,,
NtGetContextThread,2,,,,
NtSetContextThread,1,,,,
CreateProcessInternalW,1,,,,
NtOpenProcess,9530,,,,
Process32NextW,0,,,,
Process32FirstW,0,,,,
NtTerminateProcess,3,,,,
FindNextFile,0,,,,
FindFirstFile,0,,,,
FindFirstFileEx,0,,,,
SetFilePointer,888,,,,
SetFilePointerEx,0,,,,
GetFileSize,0,,,,
GetFileSizeEx,0,,,,
SetFileAttributes,0,,,,
GetFileType,0,,,,
CopyFileEx,0,,,,
CopyFile,0,,,,
DeleteFile,0,,,,
EncryptFile,0,,,,
NtReadFile,894,,,,
NtWriteFile,1792,,,,
GetFileAttributes,0,,,,
GetFileAttributesEx,0,,,,
CryptDeriveKey,0,,,,
CryptDecodeObject,0,,,,
CryptGenKey,0,,,,
CryptImportPublicKeyInfo,0,,,,
CryptAcquireContext,0,,,,
CryptAcquireContextW,0,,,,
RegCloseKey,56,,,,
RegCreateKeyExW,5,,,,
RegDeleteKeyW,0,,,,
RegQueryValueExW,34,,,,
RegSetValueExW,2,,,,
RegEnumKeyExA,0,,,,
RegOpenKeyExW,51,,,,
NtQueryValueKey,85,,,,
NtOpenKey,86,,,,
socket,0,,,,
InternetOpen,0,,,,
shutdown,0,,,,
sendto,0,,,,
connect,0,,,,
bind,0,,,,
