SetFilePointer,SetFilePointerEx,GetFileSize,GetFileSizeEx,GetFileType,NtReadFile,NtWriteFile,CryptAcquireContextW,CreateThread,NtResumeThread,NtGetContextThread,NtSetContextThread,CreateProcessInternalW,NtOpenProcess,Process32NextW,Process32FirstW,NtTerminateProcess,RegCloseKey,RegCreateKeyExW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey,socket,shutdown,connect,bind,recv,send,InternetReadFile,InternetWriteFile
58950,3699,38536,1317,2498,521926,165883,98,564,298,24,24,231,473633,934,26,436,90157,5098,102847,1996,956,103374,21510,6774,107,13,107,160,181,108,491,105
58950,3699,38536,1317,2499,521927,165884,103,565,300,24,24,234,473634,934,26,443,90158,5098,102847,1996,956,103376,21521,7738,107,13,107,160,181,108,491,105
60491,3699,38925,1318,2505,522705,168571,105,571,303,26,26,239,486535,969,27,458,90483,5112,103540,2006,956,103863,21543,7776,107,13,107,160,181,108,492,105
60712,3699,38965,1319,2511,522790,169250,106,576,304,26,26,242,496694,1003,28,467,90755,5114,104188,2012,956,104304,21563,7806,107,13,107,160,181,108,492,105
62983,4708,41116,1385,2528,558904,177391,109,597,314,26,26,253,512808,1034,29,488,94527,5254,109798,2100,985,108926,23165,8110,107,13,107,160,181,108,499,105
65626,4708,43162,1386,2534,560938,185916,111,605,315,26,26,256,536862,1072,30,494,94874,5270,110509,2111,985,109437,23193,8155,107,13,107,160,181,108,502,105
66480,4708,44017,1387,2541,561813,190133,113,612,316,26,26,259,543588,1104,31,503,95364,5284,111309,2122,991,110012,23217,8199,107,13,107,165,181,108,507,105
69696,4715,46159,1450,2558,564564,200158,116,635,325,26,26,267,578332,1139,32,517,98928,5429,115173,2211,1013,114253,25214,8442,107,13,107,165,181,108,513,105
71053,4715,47526,1451,2565,566167,206444,118,642,326,26,26,270,587780,1173,33,526,99342,5443,115904,2222,1019,114778,25237,8485,107,15,107,168,181,108,519,105
73822,4715,49583,1452,2571,568212,215462,120,650,327,26,26,273,612768,1208,34,532,99687,5459,116615,2233,1019,115285,25259,8524,107,15,107,168,181,108,522,105
74228,4715,49770,1453,2577,568398,216890,122,658,328,26,26,278,620533,1239,35,538,100022,5475,117320,2244,1019,115788,25283,8563,107,15,107,168,181,108,525,105
79278,4716,51844,1456,2591,572660,226821,123,665,330,26,26,283,654327,1274,36,544,100685,5490,118336,2254,1019,116838,25338,8661,107,15,107,168,181,108,528,105
82277,4716,53146,1457,2599,575268,232387,124,672,331,26,26,286,672481,1308,37,550,101136,5504,119137,2263,1033,117408,25366,8708,107,15,107,172,181,108,529,105
83153,4716,53443,1458,2607,575867,234400,125,679,332,26,26,289,684491,1343,38,556,101467,5514,119827,2271,1033,117912,25386,8743,107,15,107,172,181,108,533,105
83153,4716,53444,1458,2612,575868,234401,125,679,333,27,27,292,684492,1343,38,565,101499,5514,119849,2271,1033,117930,25396,8754,107,15,107,172,181,108,533,105
83155,4716,53444,1458,2612,575870,234401,125,680,333,27,27,294,684492,1343,38,568,101537,5514,119860,2271,1033,117949,25399,8757,107,15,107,172,181,108,533,105
84752,4716,54630,1459,2616,577051,239596,127,687,335,27,27,300,699489,1375,39,577,101876,5526,120570,2281,1033,118444,25427,8803,107,15,107,172,181,108,536,105
85030,4716,54683,1460,2622,577122,240663,129,695,336,27,27,305,707097,1406,40,583,102345,5540,121363,2292,1036,119022,25452,8847,107,15,107,177,181,108,539,105
88246,4725,56818,1518,2641,579357,250683,132,720,346,27,27,314,732217,1442,41,597,105881,5688,126757,2381,1054,123412,25611,9086,107,15,107,177,181,108,547,105
95567,4732,58922,1581,2661,583761,260715,135,742,358,29,29,325,767752,1474,42,624,108757,5832,131416,2468,1065,127114,26407,9373,107,15,107,177,181,108,549,105
98325,4732,60977,1582,2667,585803,269695,137,750,359,29,29,328,793135,1509,43,630,109104,5848,132127,2479,1065,127625,26435,9418,107,15,107,177,181,108,552,105
103578,4739,63078,1645,2687,590668,279687,139,772,369,29,29,337,826015,1542,44,650,111979,5984,136925,2564,1076,131341,27197,9699,107,15,107,177,181,108,552,105
106089,4739,65097,1646,2693,592675,287714,141,780,370,29,29,340,847780,1575,45,656,112310,6000,137626,2575,1076,131838,27213,9730,107,15,107,177,181,108,556,105
108756,4739,67145,1647,2702,594711,296334,143,787,373,31,31,350,872917,1613,46,686,112639,6015,138292,2587,1076,132317,27474,10169,107,15,107,177,181,108,559,105
108760,4739,67145,1647,2709,594717,296336,145,787,373,31,31,357,872919,1613,46,707,112680,6017,138317,2587,1076,132341,27716,10577,107,15,107,177,181,108,559,105
112098,4740,69581,1668,3555,597200,305649,147,793,376,33,33,362,892201,1655,47,722,114130,6024,141696,2594,1090,134014,27830,10658,107,15,107,181,181,108,561,105
112765,4740,69878,1669,3561,597504,308002,149,801,377,33,33,365,902807,1692,48,728,114465,6040,142401,2605,1090,134515,27850,10693,107,15,107,181,181,108,565,105
114749,4740,71389,1670,3992,599036,313637,151,806,380,35,35,370,911667,1731,49,743,114882,6046,143110,2608,1096,134967,27881,10746,107,15,107,186,181,108,566,105
