RegCloseKey,RegCreateKeyExW,RegDeleteKeyW,RegQueryValueExW,RegSetValueExW,RegEnumKeyExA,RegOpenKeyExW,NtQueryValueKey,NtOpenKey
167,4,0,401,6,0,267,398,38
3246,5,0,3569,7,0,3243,410,59
3461,8,0,4095,8,3,3576,831,136
3603,22,0,4214,19,14,3721,875,158
4112,36,0,6577,30,25,4349,996,213
9829,39,0,12335,32,28,9941,1018,248
9996,43,0,12736,38,28,10208,1416,286
10595,89,0,15112,59,39,10918,1766,348
16290,92,0,20858,61,42,16497,1788,383
16432,106,0,20977,72,53,16642,1812,404
