fc,fr,fs,cr,cs,rs,fp,cp,rp,sp,label
0.043174517,-0.001549927,-0.074961177,-0.141722477,-0.062497683,-0.012536673,-0.137815808,-0.090840106,0.643494633,-0.073068359,Bengin
0.04216954,-0.003763044,-0.075498146,-0.141692666,-0.062497683,-0.012207032,-0.139035793,-0.090821235,0.64350111,-0.073160027,Bengin
0.215166925,-0.18845045,-0.085645301,-0.142710137,-0.064857647,-0.141008926,-0.152671817,-0.035177909,0.44993129,-0.082435376,Jigsaw
-0.096126557,-0.203414561,-0.063808664,-0.132282403,-0.063165164,0.577937442,-0.17554466,-0.042953572,0.51740957,-0.120104162,Cerber
-0.083854028,-0.167893737,0.253062169,-0.126919617,-0.059827817,0.038224621,-0.105535401,-0.062686936,0.118060207,-0.064960416,Locky
-0.099203062,-0.161423915,-0.068454384,-0.104558104,-0.062243887,0.646605464,-0.162557836,-0.059765305,0.478641142,-0.112706817,Cerber
-0.050910304,0.172060943,-0.087385854,-0.142134951,-0.062539479,-0.007550054,-0.125691014,-0.086058297,0.474532424,-0.074510475,Bengin
-0.096967019,-0.201962331,-0.066396486,-0.130059809,-0.063007338,0.6010494,-0.17289635,-0.040281443,0.55039401,-0.115567208,Cerber
0.784742983,-0.208821626,0,-0.133009477,0,0,-0.172926846,-0.029817756,0.384256237,0,Jigsaw
-0.088391656,-0.141321565,0.276686339,-0.136292759,-0.05972156,0.137705615,-0.105187856,-0.062730514,0.153979344,-0.065426926,Locky
0.036194465,0.090958082,-0.078262982,-0.140567601,-0.062591443,-0.013975617,-0.134286167,-0.085360068,0.513696842,-0.074938093,Bengin
0,-0.162208314,0,0,0,0,-0.079355079,0,0.312754796,0,Locky
-0.107980715,-0.219429586,-0.07460746,-0.128709933,-0.062915705,0.597969942,-0.191357034,-0.038040642,0.563638443,-0.115209246,Cerber
0.051121734,-0.016515299,-0.076414771,-0.138339675,-0.062497683,-0.014214384,-0.138773844,-0.090780315,0.6502172,-0.073206978,Bengin
-0.102107475,-0.110596658,0.299099548,-0.150218831,-0.062222124,0.264198321,-0.157308042,-0.08514453,0.643024293,-0.100369159,Locky
-0.052629779,0.297938488,-0.153599528,-0.141019942,-0.06754257,-0.049332165,-0.113338173,-0.071163611,0.38858188,-0.086567753,Reveton
-0.104914436,-0.205588667,-0.072300835,-0.119696878,-0.062741087,0.59418529,-0.192001985,-0.032393274,0.570132205,-0.11823236,Cerber
-0.052974621,0.294465518,-0.153193287,-0.14126108,-0.066711654,-0.042648343,-0.113450513,-0.07191329,0.389490456,-0.088194921,Reveton
0.080363961,-0.101310877,-0.224543979,-0.080568363,0.082473874,-0.185023148,-0.23426156,0.028503216,0.807872743,-0.15477351,CryptoWall
0.040084829,-0.036469636,-0.229724423,-0.134332547,0.139514464,-0.157219182,-0.1927461,0.05263026,0.22136582,-0.166861917,CryptoWall
-0.039114,-0.144699853,-0.029975814,-0.129086415,-0.066862009,0.100430072,-0.145937893,-0.082761819,0.392441366,-0.070827884,Cryptolocker
0.091882801,-0.080759185,-0.045055792,-0.13056315,-0.062499348,0.047792943,-0.138885401,-0.091979106,0.69516337,-0.072402497,Bengin
-0.122256614,-0.132711087,-0.115346652,-0.0881613,-0.06262966,0.958262924,-0.136647814,-0.049213077,0.004646646,-0.080289807,Cerber
-0.051065703,0.167921222,-0.087317267,-0.142361874,-0.062539479,-0.006585462,-0.125481622,-0.086082642,0.476707936,-0.074534964,Bengin
-0.10652041,-0.069777131,0.297774537,-0.152527046,-0.058370598,0.37484734,-0.169092053,-0.092439624,0.661185312,-0.109495911,Locky
-0.105867486,-0.08305178,0.286082128,-0.152816892,-0.059394882,0.364655658,-0.169356768,-0.090600985,0.639424309,-0.107061019,Locky
-0.091746542,-0.148237405,0.271940963,-0.137710192,-0.066736221,0.119607768,-0.132791375,-0.074264983,0.663338672,-0.085688625,Locky
0.046819755,-0.03963552,-0.075700842,-0.133115621,-0.062498238,0.01403393,-0.136108057,-0.090728463,0.652805097,-0.07332257,Bengin
0,0,0,0,0,0,0,0,0,0,Bengin
-0.106440435,-0.038710662,0.30460898,-0.150655751,-0.055994576,0.429426352,-0.164005142,-0.090488905,0.6350056,-0.107548947,Locky
-0.106236792,-0.038085276,0.306172772,-0.15047197,-0.054021591,0.426301117,-0.163760612,-0.09043096,0.638752685,-0.108092401,Locky
-0.098487893,-0.137070403,0.290950481,-0.145881317,-0.065888792,0.178487337,-0.137688506,-0.074528069,0.637323192,-0.086432362,Locky
0.036699162,0.092176891,-0.077897834,-0.140559486,-0.062591443,-0.014202894,-0.133727206,-0.085363448,0.51378863,-0.074879287,Bengin
-0.100852458,-0.122738751,0.293547946,-0.149133237,-0.065041178,0.225849068,-0.138764396,-0.074620003,0.614583996,-0.086842517,Locky
